SizeKb,readmeSize,stargazers,language,forks_count,open_issues_count,DescLen,numOfContributors,isActive
76,0,1,'Not Specified',0,0,14,1,false
223,0,22,Other,3,0,37,4,true
78,0,38,Python,9,0,64,0,true
165,0,2,Other,1,0,22,2,false
104,0,2,Other,1,0,27,1,false
1608,0,4,JavaScript,0,4,28,1,false
865,0,1,Python,0,0,76,0,false
780,1114,13,C,6,3,64,3,true
252,392,3,C,0,0,48,1,false
120,0,2,C,0,0,40,0,false
6017,0,4,C,2,0,42,3,false
126,0,27,C,5,0,44,1,true
14303,0,19,C,3,0,40,1,false
642,0,89,C,20,7,76,3,true
127195,0,1,'Not Specified',0,0,39,1,false
48,0,1,'Not Specified',0,0,21,-1,false
87,0,3,Ruby,0,0,121,1,true
156,0,4,Ruby,0,0,0,0,false
48,0,1,'Not Specified',0,0,0,-1,false
2584,0,1,'Not Specified',0,0,14,1,false
89,0,1,Objective-C,0,0,59,1,false
4673,0,1,'Not Specified',0,0,24,1,false
236,0,1,Ruby,0,0,20,1,false
48,0,1,'Not Specified',0,0,49,-1,false
128,0,2,Python,0,0,56,0,false
76,0,1,'Not Specified',0,0,111,1,false
244,2955,3,Ruby,0,0,84,1,false
85,0,1,Ruby,0,0,22,1,false
72,0,1,'Not Specified',0,0,0,1,false
120,0,4,Other,5,0,37,2,true
81,0,1,PHP,1,0,0,1,false
20726,0,4,Python,1,5,95,10,false
5644,0,1,C++,0,0,107,1,false
80,0,5,Ruby,0,0,38,1,true
228,0,5,C,0,0,67,0,true
487,0,2,Objective-C,0,0,25,2,false
48,0,1,'Not Specified',0,0,6,-1,false
129,0,4,Other,1,1,53,1,false
73,0,1,'Not Specified',0,0,0,0,false
116,0,1,JavaScript,0,0,36,0,true
3596,0,2,JavaScript,1,1,43,1,false
96,0,2,Other,0,0,18,2,false
1716,0,1,Java,0,0,0,0,false
72,0,1,Ruby,0,0,35,1,false
97,0,1,Ruby,0,0,22,1,false
76,0,1,'Not Specified',0,0,10,1,false
480,0,1,C,0,0,150,1,false
730,0,7,Ruby,0,0,91,1,true
236,0,0,C,0,0,21,4,false
535,0,3,Other,0,0,61,11,false
570,459,6,Java,2,0,29,2,false
208,0,1,Other,0,0,65,3,false
1826,0,3,Other,0,0,83,2,true
87,0,1,Ruby,0,0,4,1,false
154,0,4,Python,1,0,40,1,false
120,0,0,JavaScript,0,0,12,1,false
100,0,0,'Not Specified',0,0,0,1,false
5706,39687,0,JavaScript,0,0,31,30,false
588,24,1,C++,0,0,0,1,false
5980,5202,0,JavaScript,0,0,9,3,false
68,12688,0,'Not Specified',0,0,37,8,false
127089,0,0,Java,0,0,47,30,false
148,99,0,Python,0,0,70,1,true
0,0,0,'Not Specified',0,0,0,-1,false
377,304,0,JavaScript,0,0,31,2,false
0,0,0,'Not Specified',0,0,0,-1,false
264,16070,0,JavaScript,0,0,48,12,false
23762,0,0,C#,0,0,55,0,false
132,10,0,C++,0,0,0,1,false
2207,256,0,JavaScript,0,0,22,2,false
1080,9,1,JavaScript,0,0,0,2,true
